frame,wheel,cat,drops,level,tf,az
Cervelo S5,Giant SLR 0,Road,795300,25,50:56.0,49:02.5
Cervelo S5,Lightweight Meilenstein,Road,603500,25,51:05.5,48:54.0
Cervelo S5,Mavic Comete Pro Carbon SL UST,Road,745500,25,50:53.5,49:20.5
Cervelo S5,Mavic Cosmic CXR60c,Road,745500,25,50:57.5,49:18.5
Cervelo S5,Mavic Cosmic Ultimate UST,Road,745500,25,51:00.0,49:16.0
Cervelo S5,Novatec R4,Road,699400,25,51:15.5,49:15.0
Cervelo S5,Roval Alpinist CLX,Road,738800,32,51:06.0,48:54.0
Cervelo S5,Roval CLX64,Road,773900,25,50:49.0,49:10.0
Cervelo S5,Roval Rapide CLX,Road,798800,25,50:49.0,49:05.0
Cervelo S5,Shimano C40,Road,688800,25,51:07.0,49:13.5
Cervelo S5,Shimano C50,Road,692200,28,50:44.5,49:17.5
Cervelo S5,Shimano C50,Road,692200,28,50:44.5,49:17.5
Cervelo S5,Shimano C60,Road,695800,25,50:56.0,49:21.0
Cervelo S5,Zipp 202,Road,752700,25,51:14.0,49:04.5
Cervelo S5,Zipp 353 NSW,Road,859100,25,50:50.0,49:02.0
Cervelo S5,Zipp 404,Road,752700,25,50:46.0,49:06.0
Cervelo S5,Zipp 454,Road,887500,25,50:43.0,49:03.0
Cervelo S5,Zipp 808,Road,781100,25,50:37.0,49:12.0
Cervelo S5,Zipp 808/Super9,Road,1679200,35,50:28.0,49:21.0
Cervelo S5,Zipp 858,Road,915900,37,50:33.0,49:09.0
Cervelo S5,Zipp 858/Super9,Road,2112300,45,50:26.0,49:20.0
Cervelo S5,Zwift 32mm Carbon,Road,603500,25,51:19.0,49:10.0
Cervelo S5,Zwift 50mm Carbon,Road,724200,25,51:06.5,49:11.0
Cervelo S5,Zwift Buffalo Fahrrad,Road,606700,40,51:24.0,49:17.0
Cervelo S5,Zwift Classic,Road,639100,25,51:25.0,49:18.0
Cervelo S5,Zwift Safety,Road,1313500,44,51:19.5,49:09.5
Cervelo S5 2020,Bontrager Aeolus5,Road,1022400,27,51:01.0,49:25.0
Cervelo S5 2020,CADEX 36,Road,1109400,27,51:13.5,49:20.5
Cervelo S5 2020,CADEX 42,Road,1079200,27,51:04.0,49:23.0
Cervelo S5 2020,Campagnolo Bora Ultra 35,Road,1100500,33,51:20.5,49:22.5
Cervelo S5 2020,Campagnolo Bora Ultra 50,Road,1114700,27,50:54.0,49:22.5
Cervelo S5 2020,DT Swiss ARC 1100 DICUT 62,Road,1036600,27,50:46.0,49:21.5
Cervelo S5 2020,DT Swiss ARC 1100 DICUT DISC,Road,2431800,42,50:20.5,49:40.0
Cervelo S5 2020,ENVE SES 2.2,Road,1043700,27,51:20.0,49:22.5
Cervelo S5 2020,ENVE SES 3.4,Road,1043700,27,50:54.0,49:21.0
Cervelo S5 2020,ENVE SES 6.7,Road,1043700,27,50:48.0,49:29.0
Cervelo S5 2020,ENVE SES 7.8,Road,1057900,39,50:35.5,49:25.0
Cervelo S5 2020,ENVE SES 8.9,Road,1057900,31,50:36.5,49:33.5
Cervelo S5 2020,FFWD RYOT55,Road,965700,27,50:53.5,49:21.0
Cervelo S5 2020,Giant SLR 0,Road,1043800,27,50:57.0,49:21.5
Cervelo S5 2020,Lightweight Meilenstein,Road,852000,27,51:06.5,49:13.0
Cervelo S5 2020,Mavic Comete Pro Carbon SL UST,Road,994000,27,50:54.5,49:39.5
Cervelo S5 2020,Mavic Cosmic CXR60c,Road,994000,27,50:58.5,49:37.5
Cervelo S5 2020,Mavic Cosmic Ultimate UST,Road,994000,27,51:01.0,49:35.0
Cervelo S5 2020,Novatec R4,Road,947900,27,51:16.5,49:34.0
Cervelo S5 2020,Roval Alpinist CLX,Road,987300,32,51:07.0,49:13.0
Cervelo S5 2020,Roval CLX64,Road,1022400,27,50:50.0,49:29.0
Cervelo S5 2020,Roval Rapide CLX,Road,1047300,27,50:50.0,49:24.0
Cervelo S5 2020,Shimano C40,Road,937300,27,51:08.0,49:32.5
Cervelo S5 2020,Shimano C50,Road,940700,28,50:45.5,49:36.5
Cervelo S5 2020,Shimano C50,Road,940700,28,50:45.5,49:36.5
Cervelo S5 2020,Shimano C60,Road,944300,27,50:57.0,49:40.0
Cervelo S5 2020,Zipp 202,Road,1001200,27,51:15.0,49:23.5
Cervelo S5 2020,Zipp 353 NSW,Road,1107600,27,50:51.0,49:21.0
Cervelo S5 2020,Zipp 404,Road,1001200,27,50:47.0,49:25.0
Cervelo S5 2020,Zipp 454,Road,1136000,27,50:44.0,49:22.0
Cervelo S5 2020,Zipp 808,Road,1029600,27,50:38.0,49:31.0
Cervelo S5 2020,Zipp 808/Super9,Road,1927700,35,50:29.0,49:40.0
Cervelo S5 2020,Zipp 858,Road,1164400,37,50:34.0,49:28.0
Cervelo S5 2020,Zipp 858/Super9,Road,2360800,45,50:27.0,49:39.0
Cervelo S5 2020,Zwift 32mm Carbon,Road,852000,27,51:20.0,49:29.0
Cervelo S5 2020,Zwift 50mm Carbon,Road,972700,27,51:07.5,49:30.0
Cervelo S5 2020,Zwift Buffalo Fahrrad,Road,855200,40,51:25.0,49:36.0
Cervelo S5 2020,Zwift Classic,Road,887600,27,51:26.0,49:37.0
Cervelo S5 2020,Zwift Safety,Road,1562000,44,51:20.5,49:28.5
Chapter2 Rere,Bontrager Aeolus5,Road,525400,20,51:09.0,49:19.0
Chapter2 Rere,CADEX 36,Road,612400,26,51:21.5,49:14.5
Chapter2 Rere,CADEX 42,Road,582200,16,51:12.0,49:17.0
Chapter2 Rere,Campagnolo Bora Ultra 35,Road,603500,33,51:28.5,49:16.5
Chapter2 Rere,Campagnolo Bora Ultra 50,Road,617700,27,51:02.0,49:16.5
Chapter2 Rere,DT Swiss ARC 1100 DICUT 62,Road,539600,16,50:54.0,49:15.5
Chapter2 Rere,DT Swiss ARC 1100 DICUT DISC,Road,1934800,42,50:28.5,49:34.0
Chapter2 Rere,ENVE SES 2.2,Road,546700,17,51:28.0,49:16.5
Chapter2 Rere,ENVE SES 3.4,Road,546700,16,51:02.0,49:15.0
Chapter2 Rere,ENVE SES 6.7,Road,546700,25,50:56.0,49:23.0
Chapter2 Rere,ENVE SES 7.8,Road,560900,39,50:43.5,49:19.0
Chapter2 Rere,ENVE SES 8.9,Road,560900,31,50:44.5,49:27.5
Chapter2 Rere,FFWD RYOT55,Road,468700,23,51:01.5,49:15.0
Chapter2 Rere,Giant SLR 0,Road,546800,22,51:05.0,49:15.5
Chapter2 Rere,Lightweight Meilenstein,Road,355000,16,51:14.5,49:07.0
Chapter2 Rere,Mavic Comete Pro Carbon SL UST,Road,497000,23,51:02.5,49:33.5
Chapter2 Rere,Mavic Cosmic CXR60c,Road,497000,16,51:06.5,49:31.5
Chapter2 Rere,Mavic Cosmic Ultimate UST,Road,497000,16,51:09.0,49:29.0
Chapter2 Rere,Novatec R4,Road,450900,24,51:24.5,49:28.0
Chapter2 Rere,Roval Alpinist CLX,Road,490300,32,51:15.0,49:07.0
Chapter2 Rere,Roval CLX64,Road,525400,16,50:58.0,49:23.0
Chapter2 Rere,Roval Rapide CLX,Road,550300,16,50:58.0,49:18.0
Chapter2 Rere,Shimano C40,Road,440300,16,51:16.0,49:26.5
Chapter2 Rere,Shimano C50,Road,443700,28,50:53.5,49:30.5
Chapter2 Rere,Shimano C50,Road,443700,28,50:53.5,49:30.5
Chapter2 Rere,Shimano C60,Road,447300,18,51:05.0,49:34.0
Chapter2 Rere,Zipp 202,Road,504200,16,51:23.0,49:17.5
Chapter2 Rere,Zipp 353 NSW,Road,610600,19,50:59.0,49:15.0
Chapter2 Rere,Zipp 404,Road,504200,16,50:55.0,49:19.0
Chapter2 Rere,Zipp 454,Road,639000,24,50:52.0,49:16.0
Chapter2 Rere,Zipp 808,Road,532600,16,50:46.0,49:25.0
Chapter2 Rere,Zipp 808/Super9,Road,1430700,35,50:37.0,49:34.0
Chapter2 Rere,Zipp 858,Road,667400,37,50:42.0,49:22.0
Chapter2 Rere,Zipp 858/Super9,Road,1863800,45,50:35.0,49:33.0
Chapter2 Rere,Zwift 32mm Carbon,Road,355000,16,51:28.0,49:23.0
Chapter2 Rere,Zwift 50mm Carbon,Road,475700,16,51:15.5,49:24.0
Chapter2 Rere,Zwift Buffalo Fahrrad,Road,358200,40,51:33.0,49:30.0
Chapter2 Rere,Zwift Classic,Road,390600,16,51:34.0,49:31.0
Chapter2 Rere,Zwift Safety,Road,1065000,44,51:28.5,49:22.5
Chapter2 Tere,Bontrager Aeolus5,Road,560900,20,51:14.5,48:57.5
Chapter2 Tere,CADEX 36,Road,647900,26,51:27.0,48:53.0
Chapter2 Tere,CADEX 42,Road,617700,8,51:17.5,48:55.5
Chapter2 Tere,Campagnolo Bora Ultra 35,Road,639000,33,51:34.0,48:55.0
Chapter2 Tere,Campagnolo Bora Ultra 50,Road,653200,27,51:07.5,48:55.0
Chapter2 Tere,DT Swiss ARC 1100 DICUT 62,Road,575100,6,50:59.5,48:54.0
Chapter2 Tere,DT Swiss ARC 1100 DICUT DISC,Road,1970300,42,50:34.0,49:12.5
Chapter2 Tere,ENVE SES 2.2,Road,582200,17,51:33.5,48:55.0
Chapter2 Tere,ENVE SES 3.4,Road,582200,6,51:07.5,48:53.5
Chapter2 Tere,ENVE SES 6.7,Road,582200,25,51:01.5,49:01.5
Chapter2 Tere,ENVE SES 7.8,Road,596400,39,50:49.0,48:57.5
Chapter2 Tere,ENVE SES 8.9,Road,596400,31,50:50.0,49:06.0
Chapter2 Tere,FFWD RYOT55,Road,504200,23,51:07.0,48:53.5
Chapter2 Tere,Giant SLR 0,Road,582300,22,51:10.5,48:54.0
Chapter2 Tere,Lightweight Meilenstein,Road,390500,6,51:20.0,48:45.5
Chapter2 Tere,Mavic Comete Pro Carbon SL UST,Road,532500,23,51:08.0,49:12.0
Chapter2 Tere,Mavic Cosmic CXR60c,Road,532500,16,51:12.0,49:10.0
Chapter2 Tere,Mavic Cosmic Ultimate UST,Road,532500,9,51:14.5,49:07.5
Chapter2 Tere,Novatec R4,Road,486400,24,51:30.0,49:06.5
Chapter2 Tere,Roval Alpinist CLX,Road,525800,32,51:20.5,48:45.5
Chapter2 Tere,Roval CLX64,Road,560900,6,51:03.5,49:01.5
Chapter2 Tere,Roval Rapide CLX,Road,585800,14,51:03.5,48:56.5
Chapter2 Tere,Shimano C40,Road,475800,12,51:21.5,49:05.0
Chapter2 Tere,Shimano C50,Road,479200,28,50:59.0,49:09.0
Chapter2 Tere,Shimano C50,Road,479200,28,50:59.0,49:09.0
Chapter2 Tere,Shimano C60,Road,482800,18,51:10.5,49:12.5
Chapter2 Tere,Zipp 202,Road,539700,11,51:28.5,48:56.0
Chapter2 Tere,Zipp 353 NSW,Road,646100,19,51:04.5,48:53.5
Chapter2 Tere,Zipp 404,Road,539700,15,51:00.5,48:57.5
Chapter2 Tere,Zipp 454,Road,674500,24,50:57.5,48:54.5
Chapter2 Tere,Zipp 808,Road,568100,13,50:51.5,49:03.5
Chapter2 Tere,Zipp 808/Super9,Road,1466200,35,50:42.5,49:12.5
Chapter2 Tere,Zipp 858,Road,702900,37,50:47.5,49:00.5
Chapter2 Tere,Zipp 858/Super9,Road,1899300,45,50:40.5,49:11.5
Chapter2 Tere,Zwift 32mm Carbon,Road,390500,6,51:33.5,49:01.5
Chapter2 Tere,Zwift 50mm Carbon,Road,511200,7,51:21.0,49:02.5
Chapter2 Tere,Zwift Buffalo Fahrrad,Road,393700,40,51:38.5,49:08.5
Chapter2 Tere,Zwift Classic,Road,426100,6,51:39.5,49:09.5
Chapter2 Tere,Zwift Safety,Road,1100500,44,51:34.0,49:01.0
Chapter2 TOA,Bontrager Aeolus5,Road,596400,20,51:03.0,49:09.0
Chapter2 TOA,CADEX 36,Road,683400,26,51:15.5,49:04.5
Chapter2 TOA,CADEX 42,Road,653200,18,51:06.0,49:07.0
Chapter2 TOA,Campagnolo Bora Ultra 35,Road,674500,33,51:22.5,49:06.5
Chapter2 TOA,Campagnolo Bora Ultra 50,Road,688700,27,50:56.0,49:06.5
Chapter2 TOA,DT Swiss ARC 1100 DICUT 62,Road,610600,18,50:48.0,49:05.5
Chapter2 TOA,DT Swiss ARC 1100 DICUT DISC,Road,2005800,42,50:22.5,49:24.0
Chapter2 TOA,ENVE SES 2.2,Road,617700,18,51:22.0,49:06.5
Chapter2 TOA,ENVE SES 3.4,Road,617700,18,50:56.0,49:05.0
Chapter2 TOA,ENVE SES 6.7,Road,617700,25,50:50.0,49:13.0
Chapter2 TOA,ENVE SES 7.8,Road,631900,39,50:37.5,49:09.0
Chapter2 TOA,ENVE SES 8.9,Road,631900,31,50:38.5,49:17.5
Chapter2 TOA,FFWD RYOT55,Road,539700,23,50:55.5,49:05.0
Chapter2 TOA,Giant SLR 0,Road,617800,22,50:59.0,49:05.5
Chapter2 TOA,Lightweight Meilenstein,Road,426000,18,51:08.5,48:57.0
Chapter2 TOA,Mavic Comete Pro Carbon SL UST,Road,568000,23,50:56.5,49:23.5
Chapter2 TOA,Mavic Cosmic CXR60c,Road,568000,18,51:00.5,49:21.5
Chapter2 TOA,Mavic Cosmic Ultimate UST,Road,568000,18,51:03.0,49:19.0
Chapter2 TOA,Novatec R4,Road,521900,24,51:18.5,49:18.0
Chapter2 TOA,Roval Alpinist CLX,Road,561300,32,51:09.0,48:57.0
Chapter2 TOA,Roval CLX64,Road,596400,18,50:52.0,49:13.0
Chapter2 TOA,Roval Rapide CLX,Road,621300,18,50:52.0,49:08.0
Chapter2 TOA,Shimano C40,Road,511300,18,51:10.0,49:16.5
Chapter2 TOA,Shimano C50,Road,514700,28,50:47.5,49:20.5
Chapter2 TOA,Shimano C50,Road,514700,28,50:47.5,49:20.5
Chapter2 TOA,Shimano C60,Road,518300,18,50:59.0,49:24.0
Chapter2 TOA,Zipp 202,Road,575200,18,51:17.0,49:07.5
Chapter2 TOA,Zipp 353 NSW,Road,681600,19,50:53.0,49:05.0
Chapter2 TOA,Zipp 404,Road,575200,18,50:49.0,49:09.0
Chapter2 TOA,Zipp 454,Road,710000,24,50:46.0,49:06.0
Chapter2 TOA,Zipp 808,Road,603600,18,50:40.0,49:15.0
Chapter2 TOA,Zipp 808/Super9,Road,1501700,35,50:31.0,49:24.0
Chapter2 TOA,Zipp 858,Road,738400,37,50:36.0,49:12.0
Chapter2 TOA,Zipp 858/Super9,Road,1934800,45,50:29.0,49:23.0
Chapter2 TOA,Zwift 32mm Carbon,Road,426000,18,51:22.0,49:13.0
Chapter2 TOA,Zwift 50mm Carbon,Road,546700,18,51:09.5,49:14.0
Chapter2 TOA,Zwift Buffalo Fahrrad,Road,429200,40,51:27.0,49:20.0
Chapter2 TOA,Zwift Classic,Road,461600,18,51:28.0,49:21.0
Chapter2 TOA,Zwift Safety,Road,1136000,44,51:22.5,49:12.5
Colnago V3RS,Bontrager Aeolus5,Road,866200,20,51:15.0,49:07.5
Colnago V3RS,CADEX 36,Road,953200,26,51:27.5,49:03.0
Colnago V3RS,CADEX 42,Road,923000,18,51:18.0,49:05.5
Colnago V3RS,Campagnolo Bora Ultra 35,Road,944300,33,51:34.5,49:05.0
Colnago V3RS,Campagnolo Bora Ultra 50,Road,958500,27,51:08.0,49:05.0
Colnago V3RS,DT Swiss ARC 1100 DICUT 62,Road,880400,18,51:00.0,49:04.0
Colnago V3RS,DT Swiss ARC 1100 DICUT DISC,Road,2275600,42,50:34.5,49:22.5
Colnago V3RS,ENVE SES 2.2,Road,887500,18,51:34.0,49:05.0
Colnago V3RS,ENVE SES 3.4,Road,887500,18,51:08.0,49:03.5
Colnago V3RS,ENVE SES 6.7,Road,887500,25,51:02.0,49:11.5
Colnago V3RS,ENVE SES 7.8,Road,901700,39,50:49.5,49:07.5
Colnago V3RS,ENVE SES 8.9,Road,901700,31,50:50.5,49:16.0
Colnago V3RS,FFWD RYOT55,Road,809500,23,51:07.5,49:03.5
Colnago V3RS,Giant SLR 0,Road,887600,22,51:11.0,49:04.0
Colnago V3RS,Lightweight Meilenstein,Road,695800,18,51:20.5,48:55.5
Colnago V3RS,Mavic Comete Pro Carbon SL UST,Road,837800,23,51:08.5,49:22.0
Colnago V3RS,Mavic Cosmic CXR60c,Road,837800,18,51:12.5,49:20.0
Colnago V3RS,Mavic Cosmic Ultimate UST,Road,837800,18,51:15.0,49:17.5
Colnago V3RS,Novatec R4,Road,791700,24,51:30.5,49:16.5
Colnago V3RS,Roval Alpinist CLX,Road,831100,32,51:21.0,48:55.5
Colnago V3RS,Roval CLX64,Road,866200,18,51:04.0,49:11.5
Colnago V3RS,Roval Rapide CLX,Road,891100,18,51:04.0,49:06.5
Colnago V3RS,Shimano C40,Road,781100,18,51:22.0,49:15.0
Colnago V3RS,Shimano C50,Road,784500,28,50:59.5,49:19.0
Colnago V3RS,Shimano C50,Road,784500,28,50:59.5,49:19.0
Colnago V3RS,Shimano C60,Road,788100,18,51:11.0,49:22.5
Colnago V3RS,Zipp 202,Road,845000,18,51:29.0,49:06.0
Colnago V3RS,Zipp 353 NSW,Road,951400,19,51:05.0,49:03.5
Colnago V3RS,Zipp 404,Road,845000,18,51:01.0,49:07.5
Colnago V3RS,Zipp 454,Road,979800,24,50:58.0,49:04.5
Colnago V3RS,Zipp 808,Road,873400,18,50:52.0,49:13.5
Colnago V3RS,Zipp 808/Super9,Road,1771500,35,50:43.0,49:22.5
Colnago V3RS,Zipp 858,Road,1008200,37,50:48.0,49:10.5
Colnago V3RS,Zipp 858/Super9,Road,2204600,45,50:41.0,49:21.5
Colnago V3RS,Zwift 32mm Carbon,Road,695800,18,51:34.0,49:11.5
Colnago V3RS,Zwift 50mm Carbon,Road,816500,18,51:21.5,49:12.5
Colnago V3RS,Zwift Buffalo Fahrrad,Road,699000,40,51:39.0,49:18.5
Colnago V3RS,Zwift Classic,Road,731400,18,51:40.0,49:19.5
Colnago V3RS,Zwift Safety,Road,1405800,44,51:34.5,49:11.0
Cube Aerium,Bontrager Aeolus5,TT,418900,28,49:39.5,50:06.5
Cube Aerium,CADEX 36,TT,505900,28,49:52.0,50:02.0
Cube Aerium,CADEX 42,TT,475700,28,49:42.5,50:04.5
Cube Aerium,Campagnolo Bora Ultra 35,TT,497000,33,49:59.0,50:04.0
Cube Aerium,Campagnolo Bora Ultra 50,TT,511200,28,49:32.5,50:04.0
Cube Aerium,DT Swiss ARC 1100 DICUT 62,TT,433100,28,49:24.5,50:03.0
Cube Aerium,DT Swiss ARC 1100 DICUT DISC,TT,1828300,42,48:59.0,50:21.5
Cube Aerium,ENVE SES 2.2,TT,440200,28,49:58.5,50:04.0
Cube Aerium,ENVE SES 3.4,TT,440200,28,49:32.5,50:02.5
Cube Aerium,ENVE SES 6.7,TT,440200,28,49:26.5,50:10.5
Cube Aerium,ENVE SES 7.8,TT,454400,39,49:14.0,50:06.5
Cube Aerium,ENVE SES 8.9,TT,454400,31,49:15.0,50:15.0
Cube Aerium,FFWD RYOT55,TT,362200,28,49:32.0,50:02.5
Cube Aerium,Giant SLR 0,TT,440300,28,49:35.5,50:03.0
Cube Aerium,Lightweight Meilenstein,TT,248500,28,49:45.0,49:54.5
Cube Aerium,Mavic Comete Pro Carbon SL UST,TT,390500,28,49:33.0,50:21.0
Cube Aerium,Mavic Cosmic CXR60c,TT,390500,28,49:37.0,50:19.0
Cube Aerium,Mavic Cosmic Ultimate UST,TT,390500,28,49:39.5,50:16.5
Cube Aerium,Novatec R4,TT,344400,28,49:55.0,50:15.5
Cube Aerium,Roval Alpinist CLX,TT,383800,32,49:45.5,49:54.5
Cube Aerium,Roval CLX64,TT,418900,28,49:28.5,50:10.5
Cube Aerium,Roval Rapide CLX,TT,443800,28,49:28.5,50:05.5
Cube Aerium,Shimano C40,TT,333800,28,49:46.5,50:14.0
Cube Aerium,Shimano C50,TT,337200,28,49:24.0,50:18.0
Cube Aerium,Shimano C50,TT,337200,28,49:24.0,50:18.0
Cube Aerium,Shimano C60,TT,340800,28,49:35.5,50:21.5
Cube Aerium,Zipp 202,TT,397700,28,49:53.5,50:05.0
Cube Aerium,Zipp 353 NSW,TT,504100,28,49:29.5,50:02.5
Cube Aerium,Zipp 404,TT,397700,28,49:25.5,50:06.5
Cube Aerium,Zipp 454,TT,532500,28,49:22.5,50:03.5
Cube Aerium,Zipp 808,TT,426100,28,49:16.5,50:12.5
Cube Aerium,Zipp 808/Super9,TT,1324200,35,49:07.5,50:21.5
Cube Aerium,Zipp 858,TT,560900,37,49:12.5,50:09.5
Cube Aerium,Zipp 858/Super9,TT,1757300,45,49:05.5,50:20.5
Cube Aerium,Zwift 32mm Carbon,TT,248500,28,49:58.5,50:10.5
Cube Aerium,Zwift 50mm Carbon,TT,369200,28,49:46.0,50:11.5
Cube Aerium,Zwift Buffalo Fahrrad,TT,251700,40,50:03.5,50:17.5
Cube Aerium,Zwift Classic,TT,284100,28,50:04.5,50:18.5
Cube Aerium,Zwift Safety,TT,958500,44,49:59.0,50:10.0
Cube Litening,Bontrager Aeolus5,Road,347900,32,51:15.0,48:58.0
Cube Litening,CADEX 36,Road,434900,32,51:27.5,48:53.5
Cube Litening,CADEX 42,Road,404700,32,51:18.0,48:56.0
Cube Litening,Campagnolo Bora Ultra 35,Road,426000,33,51:34.5,48:55.5
Cube Litening,Campagnolo Bora Ultra 50,Road,440200,32,51:08.0,48:55.5
Cube Litening,DT Swiss ARC 1100 DICUT 62,Road,362100,32,51:00.0,48:54.5
Cube Litening,DT Swiss ARC 1100 DICUT DISC,Road,1757300,42,50:34.5,49:13.0
Cube Litening,ENVE SES 2.2,Road,369200,32,51:34.0,48:55.5
Cube Litening,ENVE SES 3.4,Road,369200,32,51:08.0,48:54.0
Cube Litening,ENVE SES 6.7,Road,369200,32,51:02.0,49:02.0
Cube Litening,ENVE SES 7.8,Road,383400,39,50:49.5,48:58.0
Cube Litening,ENVE SES 8.9,Road,383400,32,50:50.5,49:06.5
Cube Litening,FFWD RYOT55,Road,291200,32,51:07.5,48:54.0
Cube Litening,Giant SLR 0,Road,369300,32,51:11.0,48:54.5
Cube Litening,Lightweight Meilenstein,Road,177500,32,51:20.5,48:46.0
Cube Litening,Mavic Comete Pro Carbon SL UST,Road,319500,32,51:08.5,49:12.5
Cube Litening,Mavic Cosmic CXR60c,Road,319500,32,51:12.5,49:10.5
Cube Litening,Mavic Cosmic Ultimate UST,Road,319500,32,51:15.0,49:08.0
Cube Litening,Novatec R4,Road,273400,32,51:30.5,49:07.0
Cube Litening,Roval Alpinist CLX,Road,312800,32,51:21.0,48:46.0
Cube Litening,Roval CLX64,Road,347900,32,51:04.0,49:02.0
Cube Litening,Roval Rapide CLX,Road,372800,32,51:04.0,48:57.0
Cube Litening,Shimano C40,Road,262800,32,51:22.0,49:05.5
Cube Litening,Shimano C50,Road,266200,32,50:59.5,49:09.5
Cube Litening,Shimano C50,Road,266200,32,50:59.5,49:09.5
Cube Litening,Shimano C60,Road,269800,32,51:11.0,49:13.0
Cube Litening,Zipp 202,Road,326700,32,51:29.0,48:56.5
Cube Litening,Zipp 353 NSW,Road,433100,32,51:05.0,48:54.0
Cube Litening,Zipp 404,Road,326700,32,51:01.0,48:58.0
Cube Litening,Zipp 454,Road,461500,32,50:58.0,48:55.0
Cube Litening,Zipp 808,Road,355100,32,50:52.0,49:04.0
Cube Litening,Zipp 808/Super9,Road,1253200,35,50:43.0,49:13.0
Cube Litening,Zipp 858,Road,489900,37,50:48.0,49:01.0
Cube Litening,Zipp 858/Super9,Road,1686300,45,50:41.0,49:12.0
Cube Litening,Zwift 32mm Carbon,Road,177500,32,51:34.0,49:02.0
Cube Litening,Zwift 50mm Carbon,Road,298200,32,51:21.5,49:03.0
Cube Litening,Zwift Buffalo Fahrrad,Road,180700,40,51:39.0,49:09.0
Cube Litening,Zwift Classic,Road,213100,32,51:40.0,49:10.0
Cube Litening,Zwift Safety,Road,887500,44,51:34.5,49:01.5
Cube Litening C:68X,Bontrager Aeolus5,Road,543900,32,51:15.0,49:10.5
Cube Litening C:68X,CADEX 36,Road,630900,32,51:27.5,49:06.0
Cube Litening C:68X,CADEX 42,Road,600700,32,51:18.0,49:08.5
Cube Litening C:68X,Campagnolo Bora Ultra 35,Road,622000,33,51:34.5,49:08.0
Cube Litening C:68X,Campagnolo Bora Ultra 50,Road,636200,32,51:08.0,49:08.0
Cube Litening C:68X,DT Swiss ARC 1100 DICUT 62,Road,558100,32,51:00.0,49:07.0
Cube Litening C:68X,DT Swiss ARC 1100 DICUT DISC,Road,1953300,42,50:34.5,49:25.5
Cube Litening C:68X,ENVE SES 2.2,Road,565200,32,51:34.0,49:08.0
Cube Litening C:68X,ENVE SES 3.4,Road,565200,32,51:08.0,49:06.5
Cube Litening C:68X,ENVE SES 6.7,Road,565200,32,51:02.0,49:14.5
Cube Litening C:68X,ENVE SES 7.8,Road,579400,39,50:49.5,49:10.5
Cube Litening C:68X,ENVE SES 8.9,Road,579400,32,50:50.5,49:19.0
Cube Litening C:68X,FFWD RYOT55,Road,487200,32,51:07.5,49:06.5
Cube Litening C:68X,Giant SLR 0,Road,565300,32,51:11.0,49:07.0
Cube Litening C:68X,Lightweight Meilenstein,Road,373500,32,51:20.5,48:58.5
Cube Litening C:68X,Mavic Comete Pro Carbon SL UST,Road,515500,32,51:08.5,49:25.0
Cube Litening C:68X,Mavic Cosmic CXR60c,Road,515500,32,51:12.5,49:23.0
Cube Litening C:68X,Mavic Cosmic Ultimate UST,Road,515500,32,51:15.0,49:20.5
Cube Litening C:68X,Novatec R4,Road,469400,32,51:30.5,49:19.5
Cube Litening C:68X,Roval Alpinist CLX,Road,508800,32,51:21.0,48:58.5
Cube Litening C:68X,Roval CLX64,Road,543900,32,51:04.0,49:14.5
Cube Litening C:68X,Roval Rapide CLX,Road,568800,32,51:04.0,49:09.5
Cube Litening C:68X,Shimano C40,Road,458800,32,51:22.0,49:18.0
Cube Litening C:68X,Shimano C50,Road,462200,32,50:59.5,49:22.0
Cube Litening C:68X,Shimano C50,Road,462200,32,50:59.5,49:22.0
Cube Litening C:68X,Shimano C60,Road,465800,32,51:11.0,49:25.5
Cube Litening C:68X,Zipp 202,Road,522700,32,51:29.0,49:09.0
Cube Litening C:68X,Zipp 353 NSW,Road,629100,32,51:05.0,49:06.5
Cube Litening C:68X,Zipp 404,Road,522700,32,51:01.0,49:10.5
Cube Litening C:68X,Zipp 454,Road,657500,32,50:58.0,49:07.5
Cube Litening C:68X,Zipp 808,Road,551100,32,50:52.0,49:16.5
Cube Litening C:68X,Zipp 808/Super9,Road,1449200,35,50:43.0,49:25.5
Cube Litening C:68X,Zipp 858,Road,685900,37,50:48.0,49:13.5
Cube Litening C:68X,Zipp 858/Super9,Road,1882300,45,50:41.0,49:24.5
Cube Litening C:68X,Zwift 32mm Carbon,Road,373500,32,51:34.0,49:14.5
Cube Litening C:68X,Zwift 50mm Carbon,Road,494200,32,51:21.5,49:15.5
Cube Litening C:68X,Zwift Buffalo Fahrrad,Road,376700,40,51:39.0,49:21.5
Cube Litening C:68X,Zwift Classic,Road,409100,32,51:40.0,49:22.5
Cube Litening C:68X,Zwift Safety,Road,1083500,44,51:34.5,49:14.0
Diamondback Andean,Bontrager Aeolus5,TT,743300,35,49:39.0,50:03.5
Diamondback Andean,CADEX 36,TT,830300,35,49:51.5,49:59.0
Diamondback Andean,CADEX 42,TT,800100,35,49:42.0,50:01.5
Diamondback Andean,Campagnolo Bora Ultra 35,TT,821400,35,49:58.5,50:01.0
Diamondback Andean,Campagnolo Bora Ultra 50,TT,835600,35,49:32.0,50:01.0
Diamondback Andean,DT Swiss ARC 1100 DICUT 62,TT,757500,35,49:24.0,50:00.0
Diamondback Andean,DT Swiss ARC 1100 DICUT DISC,TT,2152700,42,48:58.5,50:18.5
